detection_id,symbol,reason,tier,pivot_dist,target_new,target_legacy,target_code,breakout_price
bump_and_run_reversal_bottoms:000001,AAA,ok,standard,223.0,6.86,5.22,5.22,4.59
bump_and_run_reversal_bottoms:000002,AAA,ok,premium,166.0,18.91,13.21,13.21,11.19
bump_and_run_reversal_bottoms:000003,AAA,ok,standard,32.0,13.21,12.2,12.2,13.65
bump_and_run_reversal_bottoms:000004,AAM,no_pivot_fits_lead_in,loose,,,6.45,6.45,5.55
bump_and_run_reversal_bottoms:000005,AAM,ok,standard,6.0,11.72,11.72,11.72,10.01
bump_and_run_reversal_bottoms:000006,AAS,ok,standard,92.0,9.8,7.8,7.8,7.1
bump_and_run_reversal_bottoms:000007,AAT,ok,standard,13.0,6.84,6.59,6.59,5.06
bump_and_run_reversal_bottoms:000008,AAT,ok,standard,21.0,3.69,3.69,3.69,3.01
bump_and_run_reversal_bottoms:000009,ABC,no_pivot_fits_lead_in,data_limited,,,16.08,16.08,13.28
bump_and_run_reversal_bottoms:000010,ABC,ok,premium,46.0,22.68,15.3,15.3,12.14
bump_and_run_reversal_bottoms:000011,ABC,ok,standard,19.0,8.45,8.45,8.45,7.1
bump_and_run_reversal_bottoms:000012,ABC,ok,standard,30.0,18.22,17.87,17.87,14.27
bump_and_run_reversal_bottoms:000013,ABC,ok,standard,35.0,15.71,13.89,13.89,12.26
bump_and_run_reversal_bottoms:000014,ABI,ok,data_limited,13.0,10.11,9.35,9.35,7.71
bump_and_run_reversal_bottoms:000015,ABI,ok,premium,14.0,20.51,20.01,20.01,17.19
bump_and_run_reversal_bottoms:000016,ABR,ok,standard,1.0,10.35,10.35,10.35,8.97
bump_and_run_reversal_bottoms:000017,ABS,ok,premium,29.0,6.54,6.31,6.31,5.39
bump_and_run_reversal_bottoms:000018,ABS,ok,standard,75.0,5.69,4.54,4.54,3.95
bump_and_run_reversal_bottoms:000019,ABS,ok,premium,11.0,4.38,4.1,4.1,3.64
bump_and_run_reversal_bottoms:000020,ABT,ok,data_limited,6.0,25.08,25.08,25.08,20.22
bump_and_run_reversal_bottoms:000021,ACB,ok,standard,10.0,2.18,2.14,2.14,1.95
bump_and_run_reversal_bottoms:000022,ACB,no_pivot_fits_lead_in,premium,,,8.58,8.58,6.99
bump_and_run_reversal_bottoms:000023,ACB,ok,premium,110.0,14.69,12.78,12.78,11.26
bump_and_run_reversal_bottoms:000024,ACC,ok,data_limited,25.0,6.58,6.05,6.05,5.38
bump_and_run_reversal_bottoms:000025,ACC,ok,standard,3.0,7.17,7.03,7.03,6.16
bump_and_run_reversal_bottoms:000026,ACE,ok,premium,29.0,11.63,10.83,10.83,9.78
bump_and_run_reversal_bottoms:000027,ACE,no_pivot_fits_lead_in,data_limited,,,29.22,29.22,24.49
bump_and_run_reversal_bottoms:000028,ACE,no_pivot_fits_lead_in,data_limited,,,47.6,47.6,38.0
bump_and_run_reversal_bottoms:000029,ACL,ok,data_limited,29.0,3.75,3.43,3.43,2.86
bump_and_run_reversal_bottoms:000030,ACL,ok,data_limited,35.0,3.49,3.38,3.38,2.9
bump_and_run_reversal_bottoms:000031,ACL,ok,premium,6.0,16.15,14.45,14.45,12.0
bump_and_run_reversal_bottoms:000032,ACL,ok,data_limited,1.0,14.4,14.4,14.4,13.05
bump_and_run_reversal_bottoms:000033,ACS,no_pivot_fits_lead_in,data_limited,,,13.2,13.2,11.2
bump_and_run_reversal_bottoms:000034,ACS,ok,data_limited,84.0,14.0,10.0,10.0,7.4
bump_and_run_reversal_bottoms:000035,ACV,ok,premium,10.0,58.25,51.95,51.95,45.87
bump_and_run_reversal_bottoms:000036,ADG,ok,premium,35.0,23.0,20.2,20.2,17.3
bump_and_run_reversal_bottoms:000037,ADG,ok,standard,32.0,11.95,11.6,11.6,10.3
bump_and_run_reversal_bottoms:000038,ADG,ok,data_limited,13.0,9.93,9.93,9.93,8.4
bump_and_run_reversal_bottoms:000039,ADP,no_pivot_fits_lead_in,data_limited,,,16.86,16.86,12.23
